Initial Proficiency (%),Session Duration (minutes),Improvement Rate (%),Total Days Required,Minutes Per Day,Target Proficiency (%)
64.86,36.77,0.22,117,0.31,90
19.03,21.84,0.29,241,0.09,90
69.78,14.25,0.07,282,0.05,90
22.45,45.27,0.59,116,0.39,90
32.73,30.43,0.34,168,0.18,90
50.45,21.64,0.18,222,0.1,90
19.5,53.1,0.71,99,0.54,90
15.59,13.08,0.18,405,0.03,90
56.96,37.97,0.27,122,0.31,90
26.44,47.34,0.58,110,0.43,90
32.86,39.6,0.44,129,0.31,90
79.34,13.46,0.05,231,0.06,90
43.21,16.51,0.16,300,0.06,90
62.98,25.71,0.16,171,0.15,90
23.32,35.75,0.46,146,0.24,90
70.43,35.33,0.17,113,0.31,90
48.31,43.05,0.37,113,0.38,90
5.58,56.26,0.89,96,0.59,90
2.18,12.11,0.2,445,0.03,90
72.4,33.77,0.16,114,0.3,90
26.54,32.03,0.39,162,0.2,90
70.38,14.61,0.07,273,0.05,90
71.27,55.34,0.26,71,0.78,90
18.27,40.56,0.55,130,0.31,90
60.64,14.64,0.1,306,0.05,90
69.92,32.56,0.16,124,0.26,90
20.6,11.76,0.16,447,0.03,90
30.49,14.12,0.16,364,0.04,90
2.33,18.55,0.3,291,0.06,90
60.28,39.24,0.26,115,0.34,90
72.63,15.99,0.07,239,0.07,90
11.41,24.36,0.36,219,0.11,90
62.1,28.84,0.18,154,0.19,90
65.31,42.87,0.25,100,0.43,90
9.72,26.48,0.4,202,0.13,90
72.18,47.3,0.22,82,0.58,90
16.37,56.01,0.78,95,0.59,90
65.9,38.1,0.22,112,0.34,90
74.66,29.03,0.12,126,0.23,90
63.69,41.94,0.25,104,0.4,90
43.1,18.56,0.18,267,0.07,90
26.9,19.1,0.23,272,0.07,90
33.77,45.78,0.51,112,0.41,90
34.93,38.73,0.42,132,0.29,90
22.44,51.73,0.67,102,0.51,90
63.02,22.7,0.14,193,0.12,90
40.73,22.52,0.22,222,0.1,90
64.81,56.25,0.33,77,0.73,90
68.79,19.51,0.1,209,0.09,90
34.73,39.96,0.43,128,0.31,90
77.05,42.93,0.16,79,0.54,90
58.14,58.31,0.41,79,0.74,90
73.84,39.51,0.17,94,0.42,90
16.69,56.06,0.78,95,0.59,90
36.97,33.57,0.35,151,0.22,90
22.67,49.88,0.64,105,0.48,90
12.61,50.13,0.73,106,0.47,90
29.45,39.88,0.47,130,0.31,90
61.74,19.52,0.12,228,0.09,90
35.96,16.54,0.18,307,0.05,90
7.6,12.74,0.2,421,0.03,90
46.7,14.37,0.13,340,0.04,90
33.93,53.35,0.59,96,0.56,90
1.14,30.68,0.51,176,0.17,90
4.97,50.56,0.8,107,0.47,90
71.08,30.19,0.15,131,0.23,90
38.68,47.98,0.49,105,0.46,90
33.38,50.56,0.56,101,0.5,90
65.98,31.07,0.18,137,0.23,90
25.76,29.4,0.36,177,0.17,90
42.24,39.7,0.38,125,0.32,90
14.81,38.06,0.54,140,0.27,90
74.93,24.18,0.1,150,0.16,90
44.63,17.75,0.16,277,0.06,90
16.95,48.79,0.68,109,0.45,90
62.24,24.81,0.16,178,0.14,90
60.43,40.14,0.26,112,0.36,90
0.49,57.68,0.96,94,0.61,90
32.18,46.3,0.52,111,0.42,90
17.11,24.14,0.33,219,0.11,90
60.47,29.85,0.2,151,0.2,90
8.19,13.66,0.21,392,0.03,90
10.1,18.87,0.28,283,0.07,90
6.74,55.03,0.86,98,0.56,90
71.44,15.19,0.07,257,0.06,90
6.13,23,0.36,234,0.1,90
60.57,45.96,0.3,98,0.47,90
29.22,40.15,0.47,129,0.31,90
66.34,40.51,0.23,105,0.39,90
29.36,32.77,0.39,158,0.21,90
65.24,41.76,0.24,103,0.41,90
37.28,32.27,0.34,157,0.21,90
54.85,29.19,0.22,161,0.18,90
61.11,21.88,0.14,204,0.11,90
69.66,25.55,0.13,158,0.16,90
36.83,41.87,0.44,121,0.35,90
77.9,48.37,0.18,68,0.71,90
25.76,31.33,0.39,166,0.19,90
51.72,42.54,0.34,112,0.38,90
45.35,56.64,0.52,87,0.65,90
61.64,38.78,0.25,115,0.34,90
77.74,48.77,0.18,68,0.72,90
22.45,49.08,0.63,107,0.46,90
5.3,19.42,0.31,277,0.07,90
61.91,44.71,0.28,99,0.45,90
74.11,35.66,0.15,104,0.34,90
28.92,34.86,0.41,148,0.24,90
37.11,50.5,0.53,100,0.5,90
70.18,28.68,0.14,140,0.2,90
41.95,11.66,0.11,426,0.03,90
7.09,40.24,0.62,134,0.3,90
61.19,26.36,0.17,169,0.16,90
10.67,10.91,0.16,489,0.02,90
45.08,35.3,0.32,140,0.25,90
58.32,33.53,0.23,137,0.24,90
54.47,44.34,0.34,106,0.42,90
79.8,19.49,0.07,156,0.12,90
58.58,26.61,0.18,172,0.15,90
8.46,56.7,0.87,95,0.6,90
46.69,55.84,0.5,88,0.63,90
49.26,23.13,0.2,209,0.11,90
34.76,15.77,0.17,323,0.05,90
74.37,13.34,0.06,275,0.05,90
69.5,23.04,0.12,176,0.13,90
66.98,25.47,0.14,165,0.15,90
63.11,28.85,0.18,152,0.19,90
70.12,52.56,0.26,76,0.69,90
33.93,44.95,0.49,114,0.39,90
68.19,19.85,0.11,208,0.1,90
18.63,58.54,0.79,90,0.65,90
74.13,30.59,0.13,121,0.25,90
29.29,39.83,0.47,130,0.31,90
13.67,35.02,0.5,152,0.23,90
65.68,54.7,0.31,78,0.7,90
27.42,51.18,0.62,102,0.5,90
59.38,51.5,0.35,88,0.59,90
62.67,34.97,0.22,126,0.28,90
17.99,24.91,0.34,212,0.12,90
13.44,53.52,0.77,100,0.54,90
50.65,12.44,0.1,385,0.03,90
35.67,35.07,0.38,145,0.24,90
52.28,28.35,0.23,168,0.17,90
47.65,28.36,0.25,172,0.16,90
8.69,36.22,0.55,148,0.24,90
26.39,30.89,0.38,168,0.18,90
75.92,40.98,0.16,86,0.48,90
17.45,30.26,0.42,175,0.17,90
29.8,46.92,0.55,110,0.43,90
74.53,29.55,0.13,124,0.24,90
72.37,40.01,0.18,96,0.42,90
10.4,44.13,0.66,121,0.36,90
25.85,58.48,0.72,89,0.66,90
67.81,50.32,0.27,83,0.61,90
59.11,50.71,0.35,90,0.56,90
35.13,52.22,0.56,98,0.53,90
75.35,41.02,0.17,87,0.47,90
30.53,16.2,0.19,318,0.05,90
20.26,28.54,0.38,184,0.16,90
77.6,32.84,0.12,102,0.32,90
75.18,22.11,0.09,163,0.14,90
25.66,23.61,0.29,220,0.11,90
78,23.47,0.09,140,0.17,90
0.61,41.35,0.68,131,0.32,90
65.62,40.82,0.23,105,0.39,90
73.2,43.53,0.19,87,0.5,90
10.73,38.7,0.58,138,0.28,90
59.16,49.04,0.33,93,0.53,90
14.49,49,0.7,109,0.45,90
39.98,46.35,0.46,108,0.43,90
67.64,46.88,0.25,89,0.53,90
53.94,31.36,0.24,150,0.21,90
27.31,46.5,0.56,112,0.42,90
42.17,34.73,0.33,143,0.24,90
40.82,56.96,0.56,88,0.65,90
14.04,18.69,0.27,284,0.07,90
55.68,18.34,0.14,254,0.07,90
64.49,23.68,0.14,182,0.13,90
60.27,29.81,0.2,151,0.2,90
36.4,55.11,0.58,92,0.6,90
56,51.48,0.38,91,0.57,90
59.45,40.16,0.27,113,0.36,90
53.86,15.47,0.12,304,0.05,90
30.61,57.5,0.66,90,0.64,90
42.42,58.77,0.56,85,0.69,90
44.95,28.78,0.26,171,0.17,90
66.96,52.91,0.29,80,0.66,90
12.68,18.01,0.26,296,0.06,90
31.52,19.49,0.22,263,0.07,90
11.93,25.98,0.38,205,0.13,90
78.17,42.05,0.15,78,0.54,90
1.33,38.82,0.64,139,0.28,90
28.79,50,0.59,104,0.48,90
21.78,22.63,0.29,232,0.1,90
34.66,43.09,0.47,118,0.37,90
68.82,36.22,0.19,113,0.32,90
38.29,37.98,0.39,133,0.29,90
13.47,34.68,0.5,154,0.23,90
72.01,49.31,0.23,79,0.62,90
70.72,13.45,0.07,294,0.05,90
31.45,47.46,0.54,108,0.44,90
1.99,27.54,0.45,196,0.14,90
77.77,41.74,0.15,80,0.52,90
33.96,20.63,0.23,247,0.08,90
11.8,52.11,0.77,103,0.51,90
70.55,59.99,0.29,67,0.9,90
26.32,24.27,0.3,214,0.11,90
68.8,31.27,0.16,131,0.24,90
0.4,14.91,0.25,362,0.04,90
54.09,23.14,0.18,203,0.11,90
72,42.57,0.2,91,0.47,90
79.22,20.01,0.07,156,0.13,90
49.08,25.72,0.22,188,0.14,90
1.7,40.03,0.66,135,0.3,90
25.19,32.07,0.4,163,0.2,90
14.56,37.66,0.54,141,0.27,90
9.15,53.14,0.8,101,0.53,90
31.2,52.51,0.6,98,0.54,90
69.5,31.67,0.16,128,0.25,90
7.31,22.17,0.34,242,0.09,90
57.86,18.92,0.13,242,0.08,90
72.6,50.7,0.23,76,0.67,90
3.45,42.9,0.69,126,0.34,90
73.34,23.98,0.11,157,0.15,90
54.34,17.77,0.14,264,0.07,90
30.97,18.5,0.21,278,0.07,90
25.97,53.45,0.66,98,0.55,90
0.92,26.96,0.45,201,0.13,90
51.76,55.87,0.45,86,0.65,90
45.49,59.87,0.54,82,0.73,90
29.66,43.19,0.51,120,0.36,90
27.87,39.08,0.47,133,0.29,90
20.87,23.03,0.3,228,0.1,90
23.72,33.96,0.43,154,0.22,90
14.15,10.35,0.15,512,0.02,90
76.87,27.7,0.11,123,0.23,90
61.16,36.21,0.23,124,0.29,90
65.28,29.11,0.17,147,0.2,90
52.26,56.32,0.45,85,0.66,90
61.17,12.19,0.08,366,0.03,90
2.35,33.41,0.54,162,0.21,90
55.73,28.26,0.21,165,0.17,90
9.48,35.31,0.53,152,0.23,90
75.2,21.3,0.09,169,0.13,90
72.08,29.31,0.14,132,0.22,90
72.02,27.55,0.13,140,0.2,90
21.53,52.73,0.69,100,0.53,90
74.69,35.88,0.15,102,0.35,90
46.75,21.31,0.19,229,0.09,90
38.15,25.56,0.26,197,0.13,90
69.4,59.03,0.3,69,0.86,90
54.37,41.76,0.32,113,0.37,90
32.96,18.14,0.2,282,0.06,90
56.09,13.11,0.1,354,0.04,90
23.34,57.29,0.73,92,0.62,90
75.83,30.34,0.12,116,0.26,90
19.99,28.76,0.38,183,0.16,90
7.3,50.9,0.79,106,0.48,90
27.02,30.39,0.37,171,0.18,90
2.92,39.44,0.64,137,0.29,90
63.61,24.37,0.15,179,0.14,90
28.45,25.66,0.31,202,0.13,90
60.24,31.02,0.21,145,0.21,90
44.6,13.5,0.12,365,0.04,90
48.64,25.02,0.21,194,0.13,90
48.39,28.62,0.25,170,0.17,90
36.04,15.64,0.17,324,0.05,90
9.19,40.19,0.61,133,0.3,90
76.88,52.03,0.2,66,0.79,90
72.57,49.55,0.23,77,0.64,90
2.41,42.18,0.69,128,0.33,90
12,56.87,0.83,94,0.6,90
5.9,15.53,0.24,346,0.04,90
24.91,58.85,0.74,89,0.66,90
67.08,30.18,0.17,139,0.22,90
63.68,36.47,0.22,120,0.3,90
7.87,24.8,0.38,216,0.11,90
15.77,27.94,0.39,190,0.15,90
53.51,23.71,0.18,199,0.12,90
64.66,23.95,0.14,180,0.13,90
10.83,18.08,0.27,295,0.06,90
34.71,51.38,0.56,99,0.52,90
21.29,55.61,0.73,95,0.59,90
21.96,11.17,0.15,469,0.02,90
27.31,38.62,0.47,134,0.29,90
64.33,47.4,0.28,92,0.52,90
61.03,32.18,0.21,139,0.23,90
34.72,24.12,0.26,211,0.11,90
73.19,10.27,0.05,367,0.03,90
14.58,50.97,0.73,104,0.49,90
10.81,36.01,0.54,148,0.24,90
48.57,57.55,0.49,84,0.69,90
31.49,29.12,0.33,176,0.17,90
32.17,19.21,0.22,267,0.07,90
74.66,38.32,0.16,95,0.4,90
29.04,54.63,0.65,95,0.58,90
47.88,32.51,0.28,150,0.22,90
63.71,47.7,0.29,92,0.52,90
49.1,36.07,0.31,134,0.27,90
41.73,30.62,0.3,163,0.19,90
44.02,55.93,0.52,89,0.63,90
61.36,56.15,0.36,80,0.7,90
58,43.19,0.3,106,0.41,90
69.15,44.51,0.23,92,0.48,90
72.86,10.06,0.05,377,0.03,90
54.93,16.04,0.12,292,0.05,90
70.66,34.63,0.17,115,0.3,90
26.16,36.89,0.45,141,0.26,90
57.3,31.8,0.23,145,0.22,90
40.89,40.08,0.39,125,0.32,90
34.05,11.11,0.12,459,0.02,90
22.54,30.93,0.4,169,0.18,90
68.1,24.37,0.13,170,0.14,90
13.61,17.61,0.25,302,0.06,90
38.98,54.41,0.55,93,0.59,90
25.65,19.84,0.25,262,0.08,90
37.13,16.87,0.18,300,0.06,90
69.46,14.14,0.07,286,0.05,90
73.13,39.99,0.18,95,0.42,90
25.59,34.62,0.43,150,0.23,90
67.28,51.72,0.28,81,0.64,90
71,55.51,0.27,71,0.78,90
3.28,18.75,0.3,287,0.07,90
62.77,52.63,0.33,84,0.63,90
2.52,18.07,0.29,298,0.06,90
69.39,52.78,0.27,77,0.69,90
13.49,34.75,0.5,153,0.23,90
61.32,47.1,0.3,95,0.5,90
79.99,47.43,0.16,64,0.74,90
69.31,26.84,0.14,151,0.18,90
47.61,37.01,0.32,132,0.28,90
18.49,53.93,0.73,98,0.55,90
18.98,40.44,0.55,131,0.31,90
15.56,30.6,0.43,173,0.18,90
19.61,36.38,0.49,145,0.25,90
39.51,27.46,0.28,183,0.15,90
30.26,32.18,0.37,160,0.2,90
34.29,43.21,0.47,118,0.37,90
9.89,44.62,0.67,120,0.37,90
59.57,32.33,0.22,140,0.23,90
50.21,35.52,0.29,136,0.26,90
57.24,48.04,0.34,96,0.5,90
16.62,18.9,0.26,280,0.07,90
38.12,21.07,0.22,239,0.09,90
53.66,32.04,0.25,147,0.22,90
45.83,23.95,0.22,205,0.12,90
70.34,14.81,0.07,269,0.06,90
73.19,27,0.12,140,0.19,90
23.89,49.16,0.62,107,0.46,90
45.03,35.37,0.32,139,0.25,90
27.76,39.07,0.47,133,0.29,90
71.91,28.52,0.13,136,0.21,90
72.94,46.92,0.21,81,0.58,90
9.31,11.53,0.17,464,0.02,90
53.47,46.02,0.36,103,0.45,90
72.72,48.54,0.22,79,0.61,90
32.81,23.58,0.26,217,0.11,90
28.24,56.51,0.68,92,0.61,90
12.49,57.97,0.85,92,0.63,90
28.07,23.43,0.28,221,0.11,90
18.34,37.97,0.52,139,0.27,90
9.67,54.1,0.81,99,0.55,90
45.98,10.3,0.09,475,0.02,90
4.52,59.23,0.94,91,0.65,90
9.33,32.43,0.49,165,0.2,90
17.91,37.67,0.52,140,0.27,90
78.86,11.92,0.04,266,0.04,90
70.13,29.79,0.15,135,0.22,90
22.06,57.13,0.74,92,0.62,90
18.74,59.49,0.81,89,0.67,90
67.23,35.73,0.2,117,0.31,90
10,54.33,0.81,99,0.55,90
67.07,56.26,0.31,75,0.75,90
28.73,11.24,0.13,459,0.02,90
72.76,40.86,0.19,93,0.44,90
9.3,52.3,0.79,103,0.51,90
42.32,26.1,0.25,191,0.14,90
76.24,18.16,0.07,192,0.09,90
35.73,37.97,0.41,134,0.28,90
13.14,16.98,0.25,313,0.05,90
63.96,34.61,0.21,126,0.27,90
59.93,24.72,0.17,183,0.14,90
27.44,31.84,0.39,163,0.2,90
77.25,28.26,0.11,119,0.24,90
10.67,33.47,0.5,160,0.21,90
74.25,17.65,0.08,208,0.08,90
4.19,45.12,0.72,120,0.38,90
37.6,27.77,0.29,182,0.15,90
43.26,43.77,0.41,113,0.39,90
10.3,58.56,0.88,92,0.64,90
22.95,36.81,0.47,142,0.26,90
65.52,42.89,0.25,100,0.43,90
43.72,55.4,0.52,90,0.62,90
70.87,59.87,0.29,66,0.91,90
21.61,16.26,0.21,322,0.05,90
66.13,17.23,0.1,246,0.07,90
56.84,12.69,0.09,364,0.03,90
53.23,40.73,0.32,116,0.35,90
6.59,38.64,0.6,139,0.28,90
70.44,58.26,0.29,69,0.84,90
64.06,24.3,0.15,179,0.14,90
79.11,19.71,0.07,159,0.12,90
41.8,56.38,0.55,89,0.63,90
42.51,48.31,0.46,103,0.47,90
70.54,53.75,0.26,74,0.73,90
73,29.96,0.13,127,0.24,90
3.16,38.47,0.62,140,0.27,90
10.32,27.2,0.41,197,0.14,90
38.67,59.67,0.61,85,0.7,90
60.85,20.14,0.13,222,0.09,90
38.42,48.56,0.5,104,0.47,90
50.71,12.69,0.1,377,0.03,90
29.75,39.67,0.46,130,0.31,90
46.58,38.93,0.35,126,0.31,90
60.62,52.82,0.35,85,0.62,90
65.76,58.31,0.33,73,0.8,90
53.73,24.55,0.19,192,0.13,90
60.79,20.26,0.13,221,0.09,90
63.15,43.05,0.26,102,0.42,90
36.24,57.94,0.62,88,0.66,90
21.63,25.71,0.34,204,0.13,90
65,53.51,0.31,81,0.66,90
70.14,22.2,0.11,180,0.12,90
17.11,43.02,0.59,123,0.35,90
4.21,14.93,0.24,360,0.04,90
12.1,23.22,0.34,229,0.1,90
66.99,19.22,0.11,218,0.09,90
53.6,23.46,0.18,201,0.12,90
29.5,50.9,0.6,102,0.5,90
59.72,27.99,0.19,162,0.17,90
24.15,51.55,0.65,102,0.51,90
2.92,27.84,0.45,194,0.14,90
34.33,31.7,0.35,161,0.2,90
60.27,40.42,0.27,112,0.36,90
35.72,10.19,0.11,498,0.02,90
67.85,56.34,0.3,74,0.76,90
71.97,48.17,0.23,81,0.59,90
6.52,25.28,0.39,212,0.12,90
74.92,43.79,0.18,83,0.53,90
20.7,19.62,0.26,268,0.07,90
59.25,51.41,0.35,89,0.58,90
63.32,34.8,0.21,126,0.28,90
29.19,25.86,0.31,200,0.13,90
47.99,28.38,0.25,171,0.17,90
9.13,21.93,0.33,244,0.09,90
40.1,52.68,0.53,95,0.55,90
61.06,22.83,0.15,196,0.12,90
69.31,12.7,0.06,319,0.04,90
37.01,20.44,0.21,247,0.08,90
40.59,17.03,0.17,293,0.06,90
65.45,58.33,0.34,74,0.79,90
66.54,15.18,0.08,278,0.05,90
64.7,26.84,0.16,161,0.17,90
64.87,36.03,0.21,120,0.3,90
68.4,17.12,0.09,240,0.07,90
26,11.87,0.15,438,0.03,90
41.57,22.44,0.22,222,0.1,90
15.69,39.59,0.56,134,0.3,90
29.09,24.92,0.29,207,0.12,90
43.13,35.17,0.33,141,0.25,90
1.43,55.2,0.91,98,0.56,90
52.27,34.07,0.27,140,0.24,90
27.78,11.46,0.14,452,0.03,90
13.46,40.47,0.58,132,0.31,90
6.07,57.31,0.9,94,0.61,90
57.69,15.1,0.11,304,0.05,90
18.77,42.05,0.57,126,0.33,90
55.91,40.99,0.3,114,0.36,90
79.28,43.05,0.15,73,0.59,90
24.57,47.6,0.6,110,0.43,90
65.48,21.34,0.12,200,0.11,90
59.87,31.39,0.21,144,0.22,90
16.62,44.82,0.62,118,0.38,90
8.62,37.58,0.57,143,0.26,90
2.99,48.56,0.79,111,0.44,90
37.2,32.01,0.34,158,0.2,90
72.52,54.88,0.25,70,0.78,90
20.61,57.49,0.76,92,0.62,90
22.98,51.9,0.67,101,0.51,90
70.92,37.68,0.18,105,0.36,90
2.02,36.04,0.59,150,0.24,90
27.46,27.19,0.33,191,0.14,90
27.67,46.65,0.56,111,0.42,90
5.04,35.58,0.56,151,0.24,90
50.11,17.88,0.15,269,0.07,90
68.14,37.01,0.2,112,0.33,90
21.27,40.07,0.53,131,0.31,90
61.9,47.35,0.3,94,0.5,90
66.83,36.41,0.2,116,0.31,90
62.22,49.26,0.31,90,0.55,90
67.51,53.05,0.29,79,0.67,90
62.66,26.97,0.17,163,0.17,90
55.61,10.77,0.08,432,0.02,90
10.74,58.62,0.87,91,0.64,90
13.1,37.47,0.54,142,0.26,90
23.23,11.44,0.15,457,0.03,90
26.11,49.47,0.61,105,0.47,90
9.86,18.23,0.27,293,0.06,90
28.82,30.85,0.37,168,0.18,90
35.16,28.79,0.31,177,0.16,90
17.74,29.33,0.4,180,0.16,90
13.72,12.24,0.18,434,0.03,90
7.96,15.44,0.24,347,0.04,90
52.51,42.65,0.34,112,0.38,90
18.14,40,0.55,132,0.3,90
17.05,33.48,0.46,158,0.21,90
63.54,23.23,0.14,188,0.12,90
74.06,22.25,0.1,166,0.13,90
46.85,17.63,0.16,277,0.06,90
79.35,59.3,0.2,53,1.12,90
54.24,46.98,0.36,100,0.47,90
5.6,31.85,0.5,169,0.19,90
8.31,39.08,0.6,137,0.29,90
6.62,56.14,0.87,96,0.58,90
55.44,32.68,0.24,143,0.23,90
13.45,39.64,0.57,134,0.3,90
6.04,20.58,0.32,261,0.08,90
14.31,23.62,0.34,225,0.1,90
75.54,53.66,0.22,67,0.8,90
52.22,24.88,0.2,191,0.13,90
62.98,33.66,0.21,131,0.26,90
41.19,58.71,0.58,85,0.69,90
46.07,12.57,0.11,389,0.03,90
79.34,37.4,0.13,83,0.45,90
13.42,26.84,0.39,198,0.14,90
0.8,27.18,0.45,199,0.14,90
7.38,24.3,0.38,221,0.11,90
70.05,58.64,0.29,69,0.85,90
50.06,23,0.19,209,0.11,90
26.53,42.2,0.52,123,0.34,90
58.12,58.22,0.41,79,0.74,90
4.5,55.71,0.89,97,0.57,90
40.82,29.14,0.29,172,0.17,90
67.58,12.63,0.07,329,0.04,90
30.02,33.08,0.39,156,0.21,90
63.39,57,0.35,77,0.74,90
53.57,46.3,0.36,102,0.45,90
77.88,26.65,0.1,124,0.21,90
19.37,33.52,0.45,157,0.21,90
17.39,19.27,0.27,274,0.07,90
52.41,29.02,0.23,164,0.18,90
12.96,10.76,0.16,494,0.02,90
51.93,55.88,0.45,86,0.65,90
10.59,30.96,0.46,173,0.18,90
3.99,12.93,0.21,416,0.03,90
63.65,28,0.17,156,0.18,90
0.7,26.78,0.44,202,0.13,90
22.57,13.75,0.18,380,0.04,90
31.79,12.56,0.14,408,0.03,90
42.72,29.98,0.29,166,0.18,90
14.17,47.96,0.69,111,0.43,90
36.22,58.83,0.63,86,0.68,90
29.39,13.92,0.16,370,0.04,90
71.32,48.02,0.23,82,0.59,90
77.07,53.14,0.2,64,0.83,90
52.38,14.36,0.11,331,0.04,90
1.77,42.29,0.69,128,0.33,90
5.63,42.21,0.66,128,0.33,90
61.68,23.27,0.15,191,0.12,90
64.83,42.33,0.25,102,0.41,90
7.88,41.23,0.63,130,0.32,90
35.77,50.2,0.54,101,0.5,90
16.18,23.65,0.33,224,0.11,90
67.99,48.14,0.26,86,0.56,90
31.21,39.9,0.46,129,0.31,90
8.24,16.92,0.26,317,0.05,90
51.06,23.38,0.19,205,0.11,90
47.64,37.27,0.33,131,0.28,90
20.21,41.04,0.55,128,0.32,90
28.55,17.25,0.21,300,0.06,90
49.2,15.25,0.13,317,0.05,90
44.65,36.58,0.34,135,0.27,90
56.15,49.84,0.36,93,0.54,90
34.93,21.79,0.24,234,0.09,90
60.12,55.24,0.37,82,0.67,90
60.81,16.88,0.11,265,0.06,90
33.53,24.61,0.27,208,0.12,90
71.27,58.03,0.28,68,0.85,90
33.99,43.99,0.48,116,0.38,90
44.66,15.72,0.15,313,0.05,90
42.44,57.66,0.55,86,0.67,90
6.49,53.48,0.83,101,0.53,90
27.64,14.4,0.17,360,0.04,90
29.94,45.1,0.53,115,0.39,90
38.21,49.2,0.51,103,0.48,90
62,15.65,0.1,283,0.06,90
13.11,13.88,0.2,383,0.04,90
12.42,15.7,0.23,339,0.05,90
65.32,32.11,0.19,133,0.24,90
13.37,56.03,0.81,95,0.59,90
65.89,26.38,0.15,161,0.16,90
75.88,20.47,0.08,172,0.12,90
73.9,19.36,0.08,192,0.1,90
77.63,52.29,0.19,64,0.82,90
25,19.5,0.24,267,0.07,90
68.34,23.78,0.13,173,0.14,90
78.11,55.61,0.2,59,0.94,90
40.58,59.17,0.59,85,0.7,90
62.8,51.47,0.32,86,0.6,90
16.3,31.29,0.44,169,0.19,90
38.99,55.87,0.57,90,0.62,90
57.07,10.59,0.08,435,0.02,90
40.03,41.43,0.41,121,0.34,90
64.4,45.47,0.27,95,0.48,90
51.05,18.08,0.15,265,0.07,90
20.71,13.4,0.18,392,0.03,90
60.98,30.84,0.2,145,0.21,90
6.58,31.59,0.49,170,0.19,90
69.35,46.41,0.24,88,0.53,90
24.06,50.23,0.64,104,0.48,90
47.76,57.9,0.5,84,0.69,90
12.19,31.6,0.46,169,0.19,90
78.7,27.38,0.1,117,0.23,90
45.48,47.3,0.43,104,0.45,90
72.29,10.13,0.05,379,0.03,90
31.63,58.86,0.67,88,0.67,90
27.01,55.73,0.68,93,0.6,90
35.89,36.43,0.39,140,0.26,90
74.6,26.25,0.11,139,0.19,90
42.07,45.63,0.44,109,0.42,90
28.6,56.79,0.68,91,0.62,90
15.74,18.44,0.26,287,0.06,90
19.65,45.77,0.61,115,0.4,90
3.28,20.52,0.33,263,0.08,90
24.26,19.87,0.25,263,0.08,90
29.92,46.45,0.54,111,0.42,90
17.57,51.74,0.71,102,0.51,90
10.06,23.4,0.35,228,0.1,90
47.76,50.18,0.44,97,0.52,90
